obs,cpd,Y_sum,bkg_type,c_base,c_phys,mean_log_c_phys_meas,median_log_c_phys_meas,std_log_c_phys_meas,iqr_log_c_phys_meas,N_meas,mean_c_phys_meas,median_c_phys_meas
o9,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.510837545,-0.522878745,0.084192779,0.120411998,10,0.308434148,0.3
o9,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.596619806,-0.608661006,0.085380324,0.120411998,10,0.253151319,0.246228883
o9,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.384404947,-0.402466747,0.04956595,0.060205999,10,0.412662545,0.395852373
o9,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.476207808,-0.458146008,0.085380324,0.180617997,10,0.334035168,0.348220225
o9,4,30,noise-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.402466747,-0.402466747,0.0695199,0.060205999,10,0.395852373,0.395852373
o9,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.4,0.2,-0.686928805,-0.698970004,0.146926762,0.180617997,10,0.205622765,0.2
o9,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-slow-dynamic,0.6,0.3,-0.486755146,-0.462672746,0.081271905,0.120411998,10,0.326020459,0.344609506
o9,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.662846405,-0.638764005,0.076155234,0.060205999,10,0.217346973,0.229739671
o9,4,30,optics-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.450631546,-0.402466747,0.084192779,0.120411998,10,0.354297798,0.395852373
o10,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.2,0.2,-0.614681606,-0.608661006,0.124360977,0.240823997,10,0.242838977,0.246228883
o10,4,30,VR-flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.3,0.3,-0.420528547,-0.402466747,0.113702766,0.180617997,10,0.379726978,0.395852373
o10,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.4,0.2,-0.626722805,-0.638764005,0.10918535,0.180617997,10,0.236198532,0.229739671
o10,4,30,flat-normal-bkg-same-bkg-contrast-1-opposite-static,0.6,0.3,-0.474713946,-0.552981745,0.146926762,0.301029996,10,0.335186141,0.279909897
